"","State_Full","Hate_Crimes","State"
"1","Alaska","13","AK"
"2","Arizona","291","AZ"
"3","Arkansas","15","AR"
"4","California","1142","CA"
"5","Colorado","126","CO"
"6","Connecticut","124","CT"
"7","Delaware","19","DE"
"8","District of Columbia","127","DC"
"9","Florida","110","FL"
"10","Georgia","46","GA"
"11","Idaho","35","ID"
"12","Illinois","122","IL"
"13","Indiana","163","IN"
"14","Iowa","21","IA"
"15","Kansas","70","KS"
"16","Kentucky","241","KY"
"17","Louisiana","33","LA"
"18","Maine","45","ME"
"19","Maryland","40","MD"
"20","Massachusetts","444","MA"
"21","Michigan","459","MI"
"22","Minnesota","165","MN"
"23","Mississippi","10","MS"
"24","Missouri","114","MO"
"25","Montana","20","MT"
"26","Nebraska","35","NE"
"27","Nevada","49","NV"
"28","New Hampshire","40","NH"
"29","New Jersey","308","NJ"
"30","New Mexico","36","NM"
"31","New York","598","NY"
"32","North Carolina","208","NC"
"33","North Dakota","8","ND"
"34","Ohio","508","OH"
"35","Oklahoma","35","OK"
"36","Oregon","122","OR"
"37","Pennsylvania","67","PA"
"38","Rhode Island","13","RI"
"39","South Carolina","23","SC"
"40","South Dakota","21","SD"
"41","Tennessee","190","TN"
"42","Texas","224","TX"
"43","Utah","72","UT"
"44","Vermont","26","VT"
"45","Virginia","150","VA"
"46","Washington","482","WA"
"47","West Virginia","48","WV"
"48","Wisconsin","42","WI"
"49","Wyoming","4","WY"
